id,apiID,apiName,semantic,permission
1,1,java/net/URL;->openConnection,Opens a connection to the resource referenced by this URL.,INTERNET
2,2,android/content/BroadcastReceiver;->abortBroadcast,Prevents further propagation of a broadcast.,None
3,3,android/app/AlertDialog$Builder;->setPositiveButton,Sets a listener to respond when the positive button is clicked.,None
4,4,android/app/Service;->stopSelf,Stops the service after it is no longer required.,None
5,5,java/io/File;->createNewFile,Creates a new empty file in the specified path if it does not exist.,WRITE_EXTERNAL_STORAGE
6,6,java/util/zip/ZipOutputStream;->putNextEntry,Begins writing a new file entry to the ZIP output stream.,None
7,7,android/content/ContentResolver;->delete,Deletes a row or rows from the content provider.,None
8,8,android/app/DownloadManager;->enqueue,Queues a new download request in the Download Manager.,None
9,9,android/content/Context;->getContentResolver,Returns a ContentResolver instance to interact with content providers.,None
10,10,android/content/Intent;->setAction,Sets the action to be performed by this Intent.,None
11,11,android/widget/EditText;->getText,Retrieves the text currently displayed in this EditText.,None
12,12,java/io/InputStreamReader;->read,Reads characters from an input stream into a buffer.,None
13,13,java/lang/Object;->toString,Returns a string representation of the object.,None
14,14,android/telephony/TelephonyManager;->getDeviceId,Retrieves the unique device ID of the phone.,READ_PHONE_STATE
15,15,android/telephony/TelephonyManager;->getSubscriberId,"Retrieves the subscriber ID, such as the IMSI (International Mobile Subscriber Identity).",None
16,16,android/telephony/TelephonyManager;->getSimSerialNumber,Returns the serial number of the SIM card.,None
17,17,android/content/ContentResolver;->query,Queries a content provider for data.,None
18,18,android/content/Context;->getPackageManager,Returns the PackageManager instance for retrieving package information.,None
19,19,android/content/pm/PackageManager;->getInstalledPackages,Returns a list of all installed packages on the device.,None
20,20,android/location/Location;->getLatitude,Returns the latitude of the location.,None
21,21,android/location/Location;->getLongitude,Returns the longitude of the location.,None
22,22,android/telephony/TelephonyManager;->getNetworkOperator,Returns the numeric name of the network operator.,None
23,23,android/net/ConnectivityManager;->getActiveNetworkInfo,Returns details about the currently active default network.,None
24,24,android/telephony/TelephonyManager;->getLine1Number,"Returns the phone number string for line 1, if available.",None
25,25,android/content/pm/PackageManager;->setComponentEnabledSetting,Changes the enabled state of a component.,None
26,26,android/content/Intent;->setFlags,"Sets the flags for the intent, which controls how the intent is handled.",None
27,27,android/content/Intent;->setDataAndType,Sets both the data and MIME type for the intent.,None
28,28,android/app/admin/DevicePolicyManager;->resetPassword,Resets the device password to the given value.,None
29,29,android/telephony/PhoneStateListener;->onCallStateChanged,"Called when the call state changes (e.g., ringing, off-hook, idle).",None
30,30,android/os/PowerManager;->isScreenOn,Checks whether the screen is currently on.,None
31,31,android/telephony/SmsMessage;->getOriginatingAddress,Returns the originating address (phone number) of the SMS message.,None
32,32,android/telephony/SmsMessage;->getMessageBody,Returns the body of the SMS message.,None
33,33,android/media/AudioManager;->setRingerMode,"Sets the ringer mode (silent, vibrate, or normal).",None
34,34,android/media/AudioManager;->setVibrateSetting,Sets the vibration setting for notifications or calls.,None
35,35,android/view/View;->setOnClickListener,Registers a callback to be invoked when the view is clicked.,None
36,36,android/content/ComponentName;-><init>,Initializes a new ComponentName object.,None
37,37,android/app/admin/DevicePolicyManager;->isAdminActive,Checks whether the given administrator component is currently active.,None
38,38,android/telephony/SmsManager;->sendTextMessage,Sends a text-based SMS message to a specified recipient.,SEND_SMS
39,39,android/content/Intent$ShortcutIconResource;->fromContext,Creates a new ShortcutIconResource from the provided context.,None
40,40,android/app/admin/DevicePolicyManager;->lockNow,Immediately locks the device screen.,None
41,41,java/lang/System;->exit,Terminates the currently running Java Virtual Machine.,None
42,42,android/os/Environment;->getExternalStorageDirectory,Returns the primary shared/external storage directory.,None
43,43,android/net/wifi/WifiManager;->setWifiEnabled,Enables or disables Wi-Fi on the device.,ACCESS_WIFI_STATE
44,44,android/app/ActivityManager;->getRunningTasks,Returns a list of tasks that are currently running.,None
45,45,android/view/ViewGroup;->addView,Adds a child view to this view group.,None
46,46,android/view/Window;->getAttributes,Returns the current window attributes.,None
47,47,android/content/Context;->getSystemService,Retrieves a system-level service by name.,None
48,48,android/net/wifi/WifiManager;->getConnectionInfo,Returns the information about the current Wi-Fi connection.,ACCESS_WIFI_STATE
49,49,android/net/wifi/WifiInfo;->getMacAddress,Returns the MAC address of the current Wi-Fi connection.,ACCESS_WIFI_STATE
50,50,android/content/Intent;->addFlags,Adds flags to the intent to control how it is handled.,None
51,51,android/content/Intent;->setData,Sets the data URI for the intent.,None
52,52,com/android/internal/telephony/ITelephony$Stub;->endCall,Ends the currently active phone call.,None
53,53,android/app/ActivityManager;->getRunningServices,Returns a list of services that are currently running.,None
54,54,android/net/Uri;->parse,Parses a URI string into a Uri object.,None
55,55,android/content/ContentResolver;->registerContentObserver,Registers a content observer for monitoring changes in a content provider.,None
56,56,android/content/IntentFilter;->addAction,Adds an action to match in the IntentFilter.,None
57,57,android/content/Context;->registerReceiver,Registers a BroadcastReceiver for handling intents.,None
